Latitude,Longitude,Time,Water-Difference
44.6927300029,-96.4516768497,200302,-1.1104687500001091
44.7055128484,-96.4478172349,200302,13.020317460317756
44.2123465363,-96.4449175181,200302,2.7249999999996817
44.7179353199,-96.4400837986,200302,39.31968253968216
44.7033338473,-96.4203217942,200302,3.4909523809524217
44.6747848202,-96.4041689914,200302,15.531458333333376
44.1320130393,-96.3176769965,200302,1.0532857142859484
44.1283638348,-96.3174724975,200302,0.3384722222224354
44.1249008404,-96.3173659586,200302,0.754027777777992
44.0875808945,-96.305372105,200302,3.088194444443616
44.0883084879,-96.2926596459,200302,2.213666666666313
44.3612944758,-95.9267703356,200302,-0.1977777777776737
44.3561935207,-95.919953711,200302,4.256406250000737
44.371018853,-95.915808527,200302,3.634999999999536
44.3709912332,-95.8917720758,200302,9.257142857142751
44.3710020315,-95.8913458749,200302,1.1508196721301829
44.3970389706,-95.817138838,200302,-7.874666666666144
44.4297705556,-95.7959843654,200302,5.787301587302181
44.4358443675,-95.7643216798,200302,7.961219512195157
44.4178596812,-95.7634735517,200302,8.159285714285943
44.4088673118,-95.7630497844,200302,1.1461904761902133
44.3818900994,-95.7617796682,200302,5.622380952380581
44.3706190458,-95.699298213,200302,-0.2424999999998363
45.4941831375,-95.6963545118,200302,-1.512786885245987
44.3576485264,-95.6843095095,200302,-0.6740000000002055
46.1013475479,-95.2293154009,200302,-1.0756603773588722
46.0055678683,-95.2286661852,200302,-1.0503773584912324
45.9906836969,-95.2085961235,200302,-0.6688235294118385
46.0498073632,-95.1672870816,200302,-1.3986792452828922
43.877010855,-94.6881998055,200302,-0.7188235294117931
44.0107549178,-94.6224922193,200302,-2.66448275862058
44.0107462722,-94.6224670337,200302,-1.935277777777856
46.0791944851,-94.3572420433,200302,1.012647058823859
44.5460471677,-94.254216248,200302,12.796415094339636
44.2722002802,-93.9943893616,200302,-2.464788732394481
44.2857126225,-93.991421364,200302,-1.97464788732384
44.2921872496,-93.9829191026,200302,3.586956521739012
44.2827750248,-93.9770974587,200302,-20.371830985916063
44.2756633155,-93.977017188,200302,-9.750000000000227
44.2800028064,-93.9770139134,200302,-10.771830985915358
44.272909097,-93.9769339606,200302,-8.90422535211269
44.294031915,-93.9756796461,200302,3.376923076923049
44.2860050352,-93.9752334298,200302,-2.3281690140845512
44.2860922728,-93.9681536223,200302,-0.7656716417907319
44.3842524614,-93.9487169048,200302,8.353472222222194
44.3815274645,-93.9461998468,200302,11.081805555555206
44.3654673671,-93.9395281604,200302,-5.14028985507241
44.3637803757,-93.9377567801,200302,-0.3030434782610882
44.3634931446,-93.9376518002,200302,-1.1162318840580383
44.3774630988,-93.935765881,200302,2.909027777777851
44.1921983061,-93.5106308383,200302,2.1740909090908644
44.7758939204,-93.3583582708,200302,24.948933333333304
44.9745759279,-93.2753958161,200302,19.800650406504094
45.4043824538,-93.2691833506,200302,-0.2197959183675948
45.2952925029,-93.2052814919,200302,-0.1037209302324413
45.2620121821,-93.1258041884,200302,4.882916666666688
45.1821443719,-93.1228915887,200302,2.260999999999968
44.9571619092,-93.0830058027,200302,0.1414285714284915
45.0700308244,-92.994435921,200302,2.7304081632654515
45.1823177564,-92.9869025553,200302,3.0175000000001546
45.127473221,-92.9008396944,200302,5.660655737704815
44.9103562581,-92.8733184579,200302,1.5056521739128357
44.0800099724,-92.8153904853,200302,-1.920289855072269
44.9375266758,-92.7846412364,200302,1.2326666666667734
44.9369309179,-92.7837816316,200302,1.7233333333333576
48.3986484697,-96.8365690169,200303,0.3546808510637902
48.6451715644,-96.8290106819,200303,-0.4206250000000864
48.3473401496,-96.8056162031,200303,-0.4947826086953455
45.5747983011,-96.7616849869,200303,0.5781034482761243
45.5585307517,-96.7003743352,200303,-1.2085714285713038
46.8754957988,-96.6996489898,200303,-9.400799999999776
46.5002866912,-96.6980535919,200303,-3.0931372549021035
46.9487641304,-96.6554950249,200303,-0.2130188679244611
48.2678392689,-96.6544676349,200303,3.3170212765960514
46.8910972833,-96.6527775564,200303,-0.1372549019605458
46.9457455284,-96.6522271707,200303,0.0992452830188312
48.3259392527,-96.6515242425,200303,-0.1260869565215898
46.7909226793,-96.6514498336,200303,-3.5179245283020464
46.5223728406,-96.6493923584,200303,-2.751799999999889
46.8770120098,-96.6451658897,200303,-6.128301886791974
46.8622310464,-96.6410148323,200303,-4.704629629629608
46.5507510762,-96.635002156,200303,-2.0601960784314315
46.6741073895,-96.6314162417,200303,-4.649811320754793
46.5870698824,-96.6147956436,200303,-3.5981999999997925
46.6450037851,-96.5994469678,200303,-3.810754716981023
46.3074199931,-96.5989433573,200303,0.6080392156864036
46.5868503658,-96.5915046667,200303,-3.1866666666666106
46.5618985174,-96.5798343307,200303,-3.363469387755117
46.6158301248,-96.572602496,200303,-2.7641176470589244
48.47853245,-96.561983815,200303,-0.5736956521739103
48.4582548995,-96.5577491445,200303,-1.0739130434785693
45.9497119309,-96.5282190522,200303,-2.027017543859415
